key,name,character
0,NUL,
1,SCH,
2,STX,
3,ETX,
4,PF,
5,HT,
6,LC,
7,DEL,
8,GE,
9,RLF,
10,SMM,
11,VT,
12,FF,
13,CR,
14,SO,
15,SI,
16,DLE,
17,DC1,
18,DC2,
19,TM,
20,RES,
21,NL,
22,BS,
23,IL,
24,CAN,
25,EM,
26,CC,
27,CU1,
28,IFS,
29,IGS,
30,IRS,
31,IUS,
32,DS,
33,SOS,
34,FS,
35,,
36,BYP,
37,LF,
38,ETB,
39,ESC,
40,,
41,,
42,SM,
43,CU2,
44,,
45,ENQ,
46,ACK,
47,BEL,
48,,
49,,
50,SYN,
51,,
52,PN,
53,RS,
54,UC,
55,EOT,
56,,
57,,
58,,
59,CU3,
60,DC4,
61,NAK,
62,,
63,SUB,
64,SP,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,¢
75,,.
76,,<
77,,(
78,,+
79,,|
80,,&
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,!
91,,$
92,,*
93,,)
94,,;
95,,¬
96,,-
97,,/
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,|
107,,","
108,,%
109,,_
110,,>
111,,?
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,:
123,,#
124,,@
125,,"'"
126,,=
127,,""""
128,,
129,,a
130,,b
131,,c
132,,d
133,,e
134,,f
135,,g
136,,h
137,,i
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,j
146,,k
147,,l
148,,m
149,,n
150,,o
151,,p
152,,q
153,,r
154,,
155,,
156,,
157,,
158,,
159,,
160,,
161,,~
162,,s
163,,t
164,,u
165,,v
166,,w
167,,x
168,,y
169,,z
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,{
193,,A
194,,B
195,,C
196,,D
197,,E
198,,F
199,,G
200,,H
201,,I
202,,
203,,
204,,
205,,
206,,
207,,
208,,{
209,,J
210,,K
211,,L
212,,M
213,,N
214,,O
215,,P
216,,Q
217,,R
218,,
219,,
220,,
221,,
222,,
223,,
224,,\
225,,
226,,S
227,,T
228,,U
229,,V
230,,W
231,,X
232,,Y
233,,Z
234,,
235,,
236,,
237,,
238,,
239,,
240,,0
241,,1
242,,2
243,,3
244,,4
245,,5
246,,6
247,,7
248,,8
249,,9
250,,
251,,
252,,
253,,
254,,
255,,
