code,esc,sets,pc98,notes
0,  ESC [ 0 m,  Normal text,                         X
1,  ESC [ 1 m,  Bright text (intensity bit set),     X
2,  ESC [ 2 m,  Vertical line or Simple Graphics,    X
4,  ESC [ 4 m,  Underscored text,                    X
5,  ESC [ 5 m,  Blinking text,                       X
7,  ESC [ 7 m,  Reversed text,                       X
8,  ESC [ 8 m,  Canceled (invisible) text,           X
16, ESC [ 16 m, Invisible (Black) text,              X, 1:1 mapping to PC-98 GBR color order
17, ESC [ 17 m, Red text,                            X, 1:1 mapping to PC-98 GBR color order
18, ESC [ 18 m, Blue text,                           X, 1:1 mapping to PC-98 GBR color order
19, ESC [ 19 m, Magenta text,                        X, 1:1 mapping to PC-98 GBR color order
20, ESC [ 20 m, Green text,                          X, 1:1 mapping to PC-98 GBR color order
21, ESC [ 21 m, Yellow text,                         X, 1:1 mapping to PC-98 GBR color order
22, ESC [ 22 m, Cyan text,                           X, 1:1 mapping to PC-98 GBR color order
23, ESC [ 23 m, White text,                          X, 1:1 mapping to PC-98 GBR color order
30, ESC [ 30 m, Black text,                          X
31, ESC [ 31 m, Red text,                            X
32, ESC [ 32 m, Green text,                          X
33, ESC [ 33 m, Yellow text,                         X
34, ESC [ 34 m, Blue text,                           X
35, ESC [ 35 m, Magenta text,                        X
36, ESC [ 36 m, Cyan text,                           X
37, ESC [ 37 m, White text,                          X
40, ESC [ 40 m, Black background,                    X
41, ESC [ 41 m, Red background,                      X
42, ESC [ 42 m, Green background,                    X
43, ESC [ 43 m, Yellow background,                   X
44, ESC [ 44 m, Blue background,                     X
45, ESC [ 45 m, Magenta background,                  X
46, ESC [ 46 m, Cyan background,                     X
47, ESC [ 47 m, White background,                    X

